,task,min_start_time,max_start_time,min_duration,max_duration,profession,min_prob,max_prob
0,stay home,8,8,7,7,Student,0.5,0.5
1,stay home,15,16,5,6,Student,0.9,0.9
2,go to market,20,20,1,1,Student,0.48522148956795896,0.48522148956795896
3,relaxation,21,22,2,2,Student,0.7,0.9017331792807766
4,go home,23,23,1,1,Student,0.5324395657411409,0.5324395657411409
5,stay home,0,0,8,8,Student,0.9,0.9
6,stay home,1,1,6,7,Employed,0.5,0.5
7,go to work,7,7,1,1,Employed,0.6887014062490234,0.8968551938621232
8,work,8,8,4,4,Employed,0.9,0.9
9,go home,12,12,1,1,Employed,0.40674833138806193,0.4195939442731898
10,stay home,13,13,6,6,Employed,0.5,0.5
11,go to work,19,19,1,1,Employed,0.29376545919292085,0.4268504829426637
12,work,20,20,5,8,Employed,0.9,0.9
13,stay home,5,5,8,9,Unemployed,0.5,0.6194900692848074
14,stay home,13,13,6,7,Unemployed,0.9,0.9
15,go to market,19,19,2,2,Unemployed,0.36459835696989434,0.36459835696989434
16,attending event,21,21,2,2,Unemployed,0.7,0.7
17,go home,23,23,1,1,Unemployed,0.22082085176600108,0.6734904431760284
18,stay home,0,2,5,8,Unemployed,0.8,0.8453749084480828
19,stay home,7,7,5,5,Healthcare,0.5,0.5
20,go to Hospital,12,13,1,1,Healthcare,0.8663443789952073,0.8663443789952073
21,treat patients,13,15,8,9,Healthcare,0.9,0.9
22,go home,21,21,2,2,Healthcare,0.123542165144916,0.3436644766103194
23,stay home,23,24,5,5,Healthcare,0.5,0.5
24,go to Hospital,4,4,1,1,Healthcare,0.03296813926340886,0.7739402381246072
25,treat patients,5,5,2,8,Healthcare,0.9,0.9
