,task,min_start_time,max_start_time,min_duration,max_duration,profession,min_prob,max_prob
0,stay home,9,10,7,7,Student,0.5,0.996404151824124
1,stay home,16,16,8,9,Student,0.9,0.9
2,go to market,0,0,1,1,Student,0.18107087775501418,0.27555244880472063
3,relaxation,1,1,3,4,Student,0.7,0.7800638838252281
4,go home,4,5,1,1,Student,0.516591457981696,0.516591457981696
5,stay home,5,5,4,6,Student,0.9,0.9
6,stay home,0,0,7,7,Employed,0.5,0.6683630221990982
7,go to work,7,8,1,1,Employed,0.2935265593675519,0.2935265593675519
8,work,8,8,7,7,Employed,0.9,0.9
9,go home,15,15,1,1,Employed,0.33308275431602236,0.33308275431602236
10,stay home,16,16,8,8,Employed,0.5,0.5
11,stay home,2,4,4,4,Unemployed,0.5,0.5674260693127513
12,stay home,6,6,5,5,Unemployed,0.9,0.9
13,go to market,11,12,1,1,Unemployed,0.5695494754917085,0.5695494754917085
14,dating,12,13,3,3,Unemployed,0.7,0.9785715458309974
15,go home,15,15,1,1,Unemployed,0.5678945358245387,0.5678945358245387
16,stay home,16,16,5,6,Unemployed,0.8,0.8
17,stay home,21,22,5,7,Unemployed,0.9,0.9
18,stay home,6,6,5,5,Healthcare,0.5,0.8295274329882923
19,go to Hospital,11,11,1,1,Healthcare,0.20522094717350375,0.20522094717350375
20,treat patients,12,13,6,6,Healthcare,0.9,0.9
21,go home,18,18,2,2,Healthcare,0.08858146638117603,0.44908116896045686
22,stay home,20,22,4,4,Healthcare,0.5,0.5
23,go to Hospital,0,0,1,1,Healthcare,0.2333414446676507,0.2333414446676507
24,treat patients,1,1,5,7,Healthcare,0.9,0.9
